disease,MEDICATION:
Alopecia,spironolactone; minoxidil; triamcinolone; sulfasalazine; spironolactone; minoxidil; triamcinolone; sulfasalazine; spironolactone; minoxidil; triamcinolone; sulfasalazine; spironolactone; minoxidil; triamcinolone; sulfasalazine; spironolactone; minoxidil; triamcinolone; sulfasalazine; spironolactone; minoxidil; triamcinolone; sulfasalazine
Thalassemia,hydroxyurea; deferasirox; deferiprone; hydroxyurea; deferasirox; deferiprone; hydroxyurea; deferasirox; deferiprone; hydroxyurea; deferasirox; deferiprone
Alpha-1 Proteinase Inhibitor Deficiency,alpha 1-proteinase inhibitor; alpha 1-proteinase inhibitor
Alport Syndrome,lisinopril; losartan; enalapril; fosinopril; candesartan; quinapril; lisinopril; losartan; enalapril; fosinopril; candesartan; quinapril; lisinopril; losartan; enalapril; fosinopril; candesartan; quinapril
Amyotrophic Lateral Sclerosis,riluzole; edaravone; riluzole; edaravone; riluzole; edaravone; riluzole; edaravone
Soft Tissue Sarcoma,pazopanib; doxorubicin; methotrexate; trabectedin; olaratumab; pazopanib; doxorubicin; methotrexate; trabectedin; olaratumab; pazopanib; doxorubicin; methotrexate; trabectedin; olaratumab; pazopanib; doxorubicin; methotrexate; trabectedin; olaratumab; pazopanib; doxorubicin; methotrexate; trabectedin; olaratumab; pazopanib; doxorubicin; methotrexate; trabectedin; olaratumab
Alzheimer's Disease,donepezil; memantine; galantamine; rivastigmine; vitamin e; donepezil / memantine; ergoloid mesylates; etanercept; donepezil; memantine; galantamine; rivastigmine; vitamin e; donepezil / memantine; ergoloid mesylates; etanercept; donepezil; memantine; galantamine; rivastigmine; vitamin e; donepezil / memantine; ergoloid mesylates; etanercept; donepezil; memantine; galantamine; rivastigmine; vitamin e; donepezil / memantine; ergoloid mesylates; etanercept
Amebiasis,metronidazole; tinidazole; nitazoxanide; doxycycline; paromomycin; chloroquine; metronidazole; tinidazole; nitazoxanide; doxycycline; paromomycin; chloroquine; metronidazole; tinidazole; nitazoxanide; doxycycline; paromomycin; chloroquine; metronidazole; tinidazole; nitazoxanide; doxycycline; paromomycin; chloroquine; metronidazole; tinidazole; nitazoxanide; doxycycline; paromomycin; chloroquine
Amenorrhea,medroxyprogesterone; progesterone; norethindrone; medroxyprogesterone; progesterone; norethindrone; medroxyprogesterone; progesterone; norethindrone
Amyloid Cardiomyopathy,tafamidis; tafamidis
Amyloidogenic Transthyretin Amyloidosis,inotersen; patisiran; inotersen; patisiran
Amyloidosis,colchicine; colchicine; colchicine
Aspiration Pneumonia,prednisone; clindamycin; amoxicillin / clavulanate; metronidazole; dexamethasone; lansoprazole; piperacillin / tazobactam; ampicillin / sulbactam; cefoxitin; cilastatin / imipenem; prednisone; clindamycin; amoxicillin / clavulanate; metronidazole; dexamethasone; lansoprazole; piperacillin / tazobactam; ampicillin / sulbactam; cefoxitin; cilastatin / imipenem; prednisone; clindamycin; amoxicillin / clavulanate; metronidazole; dexamethasone; lansoprazole; piperacillin / tazobactam; ampicillin / sulbactam; cefoxitin; cilastatin / imipenem; prednisone; clindamycin; amoxicillin / clavulanate; metronidazole; dexamethasone; lansoprazole; piperacillin / tazobactam; ampicillin / sulbactam; cefoxitin; cilastatin / imipenem; prednisone; clindamycin; amoxicillin / clavulanate; metronidazole; dexamethasone; lansoprazole; piperacillin / tazobactam; ampicillin / sulbactam; cefoxitin; cilastatin / imipenem; prednisone; clindamycin; amoxicillin / clavulanate; metronidazole; dexamethasone; lansoprazole; piperacillin / tazobactam; ampicillin / sulbactam; cefoxitin; cilastatin / imipenem
Anal Cancer,capecitabine; fluorouracil; mitomycin; cisplatin; capecitabine; fluorouracil; mitomycin; cisplatin
Anal Fissure and Fistula,nitroglycerin; nitroglycerin; nitroglycerin
Anal Itching,hydrocortisone; clobetasol; lidocaine; zinc oxide; benzocaine; hydrocortisone; clobetasol; lidocaine; zinc oxide; benzocaine
Anaphylaxis,epinephrine; promethazine; epinephrine; promethazine; epinephrine; promethazine; epinephrine; promethazine
Anaplastic Astrocytoma,temozolomide; procarbazine
Anaplastic Oligodendroglioma,temozolomide; vincristine; lomustine; procarbazine
Thyroid Cancer,thyroid desiccated; sodium iodide-i-131; sorafenib; lenvatinib; doxorubicin; cabozantinib; thyrotropin alpha; vandetanib; dabrafenib; trametinib; thyroid desiccated; sodium iodide-i-131; sorafenib; lenvatinib; doxorubicin; cabozantinib; thyrotropin alpha; vandetanib; dabrafenib; trametinib
Hookworm Infection (Necator or Ancylostoma),mebendazole; albendazole; pyrantel; mebendazole; albendazole; pyrantel; mebendazole; albendazole; pyrantel; mebendazole; albendazole; pyrantel
Cutaneous Larva Migrans,ivermectin; albendazole; ivermectin; albendazole; ivermectin; albendazole
Androgenetic Alopecia,finasteride; ketoconazole; finasteride; ketoconazole; finasteride; ketoconazole
Anemia,epoetin alfa; multivitamin with iron; pyridoxine; oxymetholone; lenalidomide
Anemia Associated with Chronic Renal Failure,ferrous sulfate; epoetin alfa; ferrous fumarate; darbepoetin alfa; ferrous gluconate; epoetin beta-methoxy polyethylene glycol
Anemia Associated with Iron Deficiency,ferrous fumarate / folic acid
"Anemia, Drug Induced",epoetin alfa; epoetin alfa; epoetin alfa
Anemia Prior to Surgery,epoetin alfa
"Anemia, Chemotherapy Induced",epoetin alfa; darbepoetin alfa
Iron Deficiency Anemia,ferrous sulfate; ferrous gluconate; ferrous fumarate; iron polysaccharide; ferumoxytol; iron sucrose; ferrous sulfate; ferrous gluconate; ferrous fumarate; iron polysaccharide; ferumoxytol; iron sucrose; ferrous sulfate; ferrous gluconate; ferrous fumarate; iron polysaccharide; ferumoxytol; iron sucrose; ferrous sulfate; ferrous gluconate; ferrous fumarate; iron polysaccharide; ferumoxytol; iron sucrose
"Anemia, Megaloblastic",folic acid; leucovorin; folic acid; leucovorin
"Anemia, Sickle Cell",hydroxyurea; vitamin e; glutamine; crizanlizumab; hydroxyurea; vitamin e; glutamine; crizanlizumab; hydroxyurea; vitamin e; glutamine; crizanlizumab; hydroxyurea; vitamin e; glutamine; crizanlizumab; hydroxyurea; vitamin e; glutamine; crizanlizumab
Anesthesia,propofol; lidocaine; fentanyl; lidocaine / prilocaine; ketamine; succinylcholine; glycopyrrolate; lidocaine; rocuronium; etomidate; vecuronium; hyoscyamine; cisatracurium
Anesthetic Adjunct,hydromorphone; fentanyl; atracurium; butorphanol; methohexital
Angina Pectoris Prophylaxis,isosorbide mononitrate; aspirin; metoprolol; nitroglycerin; diltiazem; bisoprolol; isosorbide dinitrate; nifedipine; atenolol
Angioblastoma,interferon alfa-2b
Angiocardiography,iohexol
Angioedema,danazol; danazol; danazol
Magnetic Resonance Angiography,gadobenate dimeglumine; gadobenate dimeglumine; gadobenate dimeglumine
Peripheral Angiography,iohexol; iohexol
Renal Angiomyolipoma,everolimus; everolimus
Angiostrongylosis,mebendazole
Edema,furosemide; hydrochlorothiazide; spironolactone; bumetanide; metolazone; torsemide; hydrochlorothiazide / triamterene; hydrochlorothiazide / spironolactone; triamterene; chlorthalidone; pamabrom; acetazolamide; furosemide; hydrochlorothiazide; spironolactone; bumetanide; metolazone; torsemide; hydrochlorothiazide / triamterene; hydrochlorothiazide / spironolactone; triamterene; chlorthalidone; pamabrom; acetazolamide; furosemide; hydrochlorothiazide; spironolactone; bumetanide; metolazone; torsemide; hydrochlorothiazide / triamterene; hydrochlorothiazide / spironolactone; triamterene; chlorthalidone; pamabrom; acetazolamide
Diffuse Idiopathic Skeletal Hyperostosis,ibuprofen; naproxen; ibuprofen; naproxen; ibuprofen; naproxen; ibuprofen; naproxen; ibuprofen; naproxen
Ankylosing Spondylitis,diclofenac; prednisone; naproxen; indomethacin; celecoxib; adalimumab; aspirin; etanercept; sulindac; infliximab
Anorexia,cyproheptadine; megestrol; dronabinol; olanzapine
Anorexia Nervosa,olanzapine; cyproheptadine; olanzapine; cyproheptadine; olanzapine; cyproheptadine
Anorexia/Feeding Problems,fluvoxamine
Anthrax,ciprofloxacin; levofloxacin; doxycycline; moxifloxacin; penicillin g potassium; chloramphenicol; ofloxacin; anthrax immune globulin intravenous; ciprofloxacin; levofloxacin; doxycycline; moxifloxacin; penicillin g potassium; chloramphenicol; ofloxacin; anthrax immune globulin intravenous; ciprofloxacin; levofloxacin; doxycycline; moxifloxacin; penicillin g potassium; chloramphenicol; ofloxacin; anthrax immune globulin intravenous; ciprofloxacin; levofloxacin; doxycycline; moxifloxacin; penicillin g potassium; chloramphenicol; ofloxacin; anthrax immune globulin intravenous; ciprofloxacin; levofloxacin; doxycycline; moxifloxacin; penicillin g potassium; chloramphenicol; ofloxacin; anthrax immune globulin intravenous; ciprofloxacin; levofloxacin; doxycycline; moxifloxacin; penicillin g potassium; chloramphenicol; ofloxacin; anthrax immune globulin intravenous; ciprofloxacin; levofloxacin; doxycycline; moxifloxacin; penicillin g potassium; chloramphenicol; ofloxacin; anthrax immune globulin intravenous; ciprofloxacin; levofloxacin; doxycycline; moxifloxacin; penicillin g potassium; chloramphenicol; ofloxacin; anthrax immune globulin intravenous; ciprofloxacin; levofloxacin; doxycycline; moxifloxacin; penicillin g potassium; chloramphenicol; ofloxacin; anthrax immune globulin intravenous
Anthrax Prophylaxis,amoxicillin; levofloxacin; ciprofloxacin; doxycycline; moxifloxacin; anthrax vaccine adsorbed; ofloxacin
Anti NMDA Receptor Encephalitis,immune globulin intravenous
Ethylene Glycol Poisoning,fomepizole; fomepizole
Pseudomembranous Colitis,metronidazole; vancomycin; metronidazole; vancomycin; metronidazole; vancomycin; metronidazole; vancomycin; metronidazole; vancomycin; metronidazole; vancomycin; metronidazole; vancomycin
Anticholinergic Syndrome,physostigmine
Anticholinesterase Overdose,pralidoxime
Anticholinesterase Poisoning,atropine
Anticoagulation During Pregnancy,heparin
"Sexual Dysfunction, SSRI Induced",buspirone; sildenafil; bupropion; dextroamphetamine; cyproheptadine; amantadine; buspirone; sildenafil; bupropion; dextroamphetamine; cyproheptadine; amantadine; buspirone; sildenafil; bupropion; dextroamphetamine; cyproheptadine; amantadine
Antiphospholipid Syndrome,warfarin; aspirin; heparin; warfarin; aspirin; heparin; warfarin; aspirin; heparin; warfarin; aspirin; heparin
Antithrombin III Deficiency,antithrombin iii; antithrombin (recombinant)
Anxiety,clonazepam; alprazolam; lorazepam; buspirone; hydroxyzine; diazepam; escitalopram; gabapentin; propranolol; trazodone; bupropion; clonidine; venlafaxine; duloxetine; paroxetine; mirtazapine; clonazepam; alprazolam; lorazepam; buspirone; hydroxyzine; diazepam; escitalopram; gabapentin; propranolol; trazodone; bupropion; clonidine; venlafaxine; duloxetine; paroxetine; mirtazapine; clonazepam; alprazolam; lorazepam; buspirone; hydroxyzine; diazepam; escitalopram; gabapentin; propranolol; trazodone; bupropion; clonidine; venlafaxine; duloxetine; paroxetine; mirtazapine; clonazepam; alprazolam; lorazepam; buspirone; hydroxyzine; diazepam; escitalopram; gabapentin; propranolol; trazodone; bupropion; clonidine; venlafaxine; duloxetine; paroxetine; mirtazapine
Generalized Anxiety Disorder,escitalopram; quetiapine; sertraline; citalopram; pregabalin; venlafaxine; duloxetine; paroxetine; escitalopram; quetiapine; sertraline; citalopram; pregabalin; venlafaxine; duloxetine; paroxetine; escitalopram; quetiapine; sertraline; citalopram; pregabalin; venlafaxine; duloxetine; paroxetine
Aortic Aneurysm,metoprolol; metoprolol
Aortic Stenosis,propranolol; propranolol
Prosthetic Heart Valves - Thrombosis Prophylaxis,aspirin; warfarin; dipyridamole; aspirin; warfarin; dipyridamole; aspirin; warfarin; dipyridamole; aspirin; warfarin; dipyridamole; aspirin; warfarin; dipyridamole; aspirin; warfarin; dipyridamole
Aortography,iodixanol; iohexol
Auditory Processing Disorder,dexmethylphenidate; dexmethylphenidate; dexmethylphenidate; dexmethylphenidate; dexmethylphenidate; dexmethylphenidate; dexmethylphenidate
"Aphthous Stomatitis, Recurrent",colchicine; hydrocortisone
Aphthous Ulcer,triamcinolone; dexamethasone; benzocaine; triamcinolone; dexamethasone; benzocaine; triamcinolone; dexamethasone; benzocaine; triamcinolone; dexamethasone; benzocaine
Aplastic Anemia,"filgrastim; sargramostim; lymphocyte immune globulin, anti-thy (equine); eltrombopag"
Apnea of Prematurity,theophylline; caffeine
Appendectomy,piperacillin / tazobactam
Appendicitis,piperacillin / tazobactam
Occipital Neuralgia,gabapentin; carbamazepine; citalopram; pregabalin; gabapentin; carbamazepine; citalopram; pregabalin; gabapentin; carbamazepine; citalopram; pregabalin
Arrhythmia,amiodarone; verapamil; propranolol; dofetilide; lidocaine; mexiletine; disopyramide; phenytoin; quinidine; procainamide; amiodarone; verapamil; propranolol; dofetilide; lidocaine; mexiletine; disopyramide; phenytoin; quinidine; procainamide; amiodarone; verapamil; propranolol; dofetilide; lidocaine; mexiletine; disopyramide; phenytoin; quinidine; procainamide
Arsenic Poisoning,dimercaprol
Atherosclerosis,rosuvastatin; rosuvastatin; rosuvastatin; rosuvastatin; rosuvastatin
Arteriosclerotic Dementia,ergoloid mesylates; ergoloid mesylates; ergoloid mesylates
Coronary Artery Disease,lisinopril; amlodipine; perindopril; amlodipine / atorvastatin; isoxsuprine; rivaroxaban; lisinopril; amlodipine; perindopril; amlodipine / atorvastatin; isoxsuprine; rivaroxaban; lisinopril; amlodipine; perindopril; amlodipine / atorvastatin; isoxsuprine; rivaroxaban; lisinopril; amlodipine; perindopril; amlodipine / atorvastatin; isoxsuprine; rivaroxaban; lisinopril; amlodipine; perindopril; amlodipine / atorvastatin; isoxsuprine; rivaroxaban
Rheumatoid Arthritis,methotrexate; prednisone; meloxicam; hydroxychloroquine; sulfasalazine; leflunomide; diclofenac; naproxen; celecoxib; acetaminophen / hydrocodone; ibuprofen; methotrexate; prednisone; meloxicam; hydroxychloroquine; sulfasalazine; leflunomide; diclofenac; naproxen; celecoxib; acetaminophen / hydrocodone; ibuprofen; methotrexate; prednisone; meloxicam; hydroxychloroquine; sulfasalazine; leflunomide; diclofenac; naproxen; celecoxib; acetaminophen / hydrocodone; ibuprofen; methotrexate; prednisone; meloxicam; hydroxychloroquine; sulfasalazine; leflunomide; diclofenac; naproxen; celecoxib; acetaminophen / hydrocodone; ibuprofen
Osteoarthritis,meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine; meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine; meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine; meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine; meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine; meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine; meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine; meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine; meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine; meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine; meloxicam; diclofenac; naproxen; ibuprofen; celecoxib; chondroitin / glucosamine; diclofenac; etodolac; prednisone; aspirin; nabumetone; duloxetine
Reiter's Syndrome,adalimumab; adalimumab; adalimumab
Arthrography,iohexol
Pulmonary Fibrosis,mycophenolate mofetil; infliximab; mycophenolate mofetil; infliximab; mycophenolate mofetil; infliximab; mycophenolate mofetil; infliximab
Ascariasis,albendazole; mebendazole; pyrantel; ivermectin; nitazoxanide; albendazole; mebendazole; pyrantel; ivermectin; nitazoxanide; albendazole; mebendazole; pyrantel; ivermectin; nitazoxanide
Ascites,furosemide; hydrochlorothiazide / spironolactone; torsemide; amiloride; bumetanide; triamterene; ethacrynic acid
Aseptic Necrosis,ibuprofen; alendronate; diclofenac; aspirin; naproxen; ibuprofen; alendronate; diclofenac; aspirin; naproxen; ibuprofen; alendronate; diclofenac; aspirin; naproxen; ibuprofen; alendronate; diclofenac; aspirin; naproxen; ibuprofen; alendronate; diclofenac; aspirin; naproxen
